"No.","Time","Source","Destination","Protocol","Length","Info"
"152","1.229198","150.171.28.10","10.1.0.73","TCP","54","443  >  32468 [ACK] Seq=391 Ack=3263 Win=262144 Len=0"
"153","1.229198","150.171.28.10","10.1.0.73","TLSv1.3","116","Application Data"
"154","1.246423","35.186.224.24","10.1.0.73","TCP","54","443  >  48424 [ACK] Seq=136 Ack=791 Win=1024 Len=0"
"155","1.268736","8.8.4.4","10.1.0.73","DNS","206","Standard query response 0x097f A gnar.grammarly.com A 35.170.132.116 A 100.49.186.62 A 54.156.169.68 A 54.204.244.253 A 34.206.180.93 A 3.92.246.148 A 52.4.187.49 A 98.94.186.216"
"156","1.282095","10.1.0.73","150.171.28.10","TCP","54","32468  >  443 [ACK] Seq=3263 Ack=453 Win=65024 Len=0"
"157","1.289808","fe80::708:2dfd:1a83:4aee","ff02::1:2","DHCPv6","120","Information-request XID: 0x87db24 CID: 000100012e9f510dcc28aa162c40 "
"158","1.372496","98.89.245.112","10.1.0.73","TLSv1.2","718","Application Data"
"159","1.373803","35.214.229.62","10.1.0.73","TLSv1.3","528","Application Data, Application Data"
"160","1.373803","35.214.229.62","10.1.0.73","TCP","54","443  >  59441 [FIN, ACK] Seq=3984 Ack=2061 Win=40704 Len=0"
"161","1.373885","10.1.0.73","35.214.229.62","TCP","54","59441  >  443 [ACK] Seq=2061 Ack=3985 Win=65024 Len=0"
"162","1.398035","52.55.46.215","10.1.0.73","TLSv1.2","108","Application Data"
"163","1.398514","10.1.0.73","52.55.46.215","TLSv1.2","1309","Application Data"
"164","1.402104","10.1.0.73","98.89.245.112","TLSv1.2","1038","Application Data"
"165","1.440343","3.92.246.148","10.1.0.73","TCP","54","443  >  51842 [ACK] Seq=1 Ack=345 Win=28160 Len=0"
"166","1.440343","3.92.246.148","10.1.0.73","TLSv1.2","201","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"167","1.445072","10.1.0.73","3.92.246.148","TLSv1.2","441","Change Cipher Spec, Encrypted Handshake Message, Application Data"
"168","1.445704","3.111.241.224","10.1.0.73","TCP","54","443  >  48904 [ACK] Seq=1 Ack=1 Win=27 Len=0"
"169","1.445778","10.1.0.73","3.111.241.224","TCP","54","[TCP ACKed unseen segment] 48904  >  443 [ACK] Seq=1 Ack=2 Win=250 Len=0"
"170","1.494680","AzureWaveTec_96:f1:7a","Broadcast","ARP","42","ARP Announcement for 10.1.0.43"
"171","1.494728","fe80::708:2dfd:1a83:4aee","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"172","1.494767","10.1.0.43","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.251"
"173","1.597172","fe80::708:2dfd:1a83:4aee","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"174","1.597248","10.1.0.43","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"175","1.597835","10.1.0.43","10.1.0.255","NBNS","110","Registration NB TUF-CRUZ<00>"
"176","1.598037","10.1.0.43","10.1.0.255","NBNS","110","Registration NB WORKGROUP<00>"
"177","1.598110","10.1.0.43","10.1.0.255","NBNS","110","Registration NB TUF-CRUZ<20>"
"178","1.598284","fe80::708:2dfd:1a83:4aee","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"179","1.598311","10.1.0.43","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"180","1.598748","fe80::708:2dfd:1a83:4aee","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"181","1.598770","10.1.0.43","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"182","1.599022","fe80::708:2dfd:1a83:4aee","ff02::1:3","LLMNR","88","Standard query 0xba6a ANY TUF-CRUZ"
"183","1.599208","10.1.0.43","224.0.0.252","LLMNR","68","Standard query 0xba6a ANY TUF-CRUZ"
"184","1.638520","52.55.46.215","10.1.0.73","TLSv1.2","225","Application Data"
"185","1.680325","98.89.245.112","10.1.0.73","TCP","54","443  >  63399 [ACK] Seq=5139 Ack=2805 Win=48896 Len=0"
"186","1.683280","3.92.246.148","10.1.0.73","TCP","54","443  >  51842 [ACK] Seq=148 Ack=732 Win=29184 Len=0"
"187","1.683280","3.92.246.148","10.1.0.73","TLSv1.2","108","Application Data"
"188","1.683666","10.1.0.73","3.92.246.148","TLSv1.2","980","Application Data"
"189","1.685150","10.1.0.73","52.55.46.215","TCP","54","63400  >  443 [ACK] Seq=1987 Ack=4678 Win=65024 Len=0"
"190","1.802362","98.89.245.112","10.1.0.73","TLSv1.2","965","Application Data"
"191","1.802362","98.89.245.112","10.1.0.73","TLSv1.2","340","Application Data"
"192","1.802487","10.1.0.73","98.89.245.112","TCP","54","63399  >  443 [ACK] Seq=2805 Ack=6336 Win=65280 Len=0"
"193","1.824224","10.1.0.73","98.89.245.112","TLSv1.2","140","Application Data"
"194","1.918004","3.92.246.148","10.1.0.73","TLSv1.2","512","Application Data"
"195","1.956121","34.1.230.192","10.1.0.73","TCP","54","443  >  34532 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"196","1.964678","10.1.0.73","3.92.246.148","TCP","54","51842  >  443 [ACK] Seq=1658 Ack=660 Win=64768 Len=0"
"197","2.010409","10.1.0.43","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"198","2.010883","10.1.0.43","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.251 for any sources / Join group 224.0.0.252 for any sources"
"199","2.010936","fe80::708:2dfd:1a83:4aee","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"200","2.010984","fe80::708:2dfd:1a83:4aee","ff02::1:3","LLMNR","88","Standard query 0xba6a ANY TUF-CRUZ"
"201","2.011256","10.1.0.43","224.0.0.252","LLMNR","68","Standard query 0xba6a ANY TUF-CRUZ"
"202","2.011327","fe80::708:2dfd:1a83:4aee","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"203","2.011349","10.1.0.43","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.251"
"204","2.011366","fe80::708:2dfd:1a83:4aee","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"205","2.011381","10.1.0.43","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"206","2.053120","98.89.245.112","10.1.0.73","TCP","54","443  >  63399 [ACK] Seq=6336 Ack=2891 Win=48896 Len=0"
"207","2.053224","10.1.0.73","98.89.245.112","TLSv1.2","140","Application Data"
"208","2.057230","98.89.245.112","10.1.0.73","TLSv1.2","118","Application Data"
"209","2.104190","10.1.0.73","98.89.245.112","TCP","54","63399  >  443 [ACK] Seq=2977 Ack=6400 Win=65280 Len=0"
"210","2.212359","10.1.0.73","35.186.224.22","TCP","55","59024  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1"
"211","2.229149","35.186.224.22","10.1.0.73","TCP","66","443  >  59024 [ACK] Seq=1 Ack=2 Win=1024 Len=0 SLE=1 SRE=2"
"212","2.258427","10.1.0.73","35.186.224.24","TCP","55","40854  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"213","2.259307","54.151.166.244","10.1.0.73","TCP","54","443  >  24546 [ACK] Seq=1 Ack=1 Win=19 Len=0"
"214","2.259383","10.1.0.73","54.151.166.244","TCP","54","[TCP ACKed unseen segment] 24546  >  443 [ACK] Seq=1 Ack=2 Win=252 Len=0"
"215","2.279184","35.186.224.24","10.1.0.73","TCP","66","443  >  40854 [ACK] Seq=1 Ack=2 Win=1024 Len=0 SLE=1 SRE=2"
"216","2.288067","98.89.245.112","10.1.0.73","TLSv1.2","118","Application Data"
"217","2.335091","10.1.0.73","98.89.245.112","TCP","54","63399  >  443 [ACK] Seq=2977 Ack=6464 Win=65280 Len=0"
"218","2.416255","10.1.0.43","10.1.0.255","NBNS","110","Registration NB WORKGROUP<00>"
"219","2.416498","10.1.0.43","10.1.0.255","NBNS","110","Registration NB TUF-CRUZ<00>"
"220","2.416577","10.1.0.43","10.1.0.255","NBNS","110","Registration NB TUF-CRUZ<20>"
"221","2.459943","10.1.0.73","104.86.189.49","TCP","55","42935  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1"
"222","2.482685","104.86.189.49","10.1.0.73","TCP","66","443  >  42935 [ACK] Seq=1 Ack=2 Win=567 Len=0 SLE=1 SRE=2"
"223","2.518673","fe80::708:2dfd:1a83:4aee","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"224","2.518757","10.1.0.43","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"225","2.518799","fe80::708:2dfd:1a83:4aee","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"226","2.519149","10.1.0.43","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"227","2.519176","fe80::708:2dfd:1a83:4aee","ff02::1:3","LLMNR","88","Standard query 0xcb77 ANY TUF-CRUZ"
