"No.","Time","Source","Destination","Protocol","Length","Info"
"313","6.922783","fe80::708:2dfd:1a83:4aee","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"314","6.922866","10.1.0.43","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"315","6.923766","fe80::708:2dfd:1a83:4aee","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"316","6.923823","10.1.0.43","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"317","6.924439","10.1.0.43","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"318","7.024268","10.1.0.43","224.0.0.251","MDNS","85","Standard query 0x0000 PTR 1.56.168.192.in-addr.arpa, ""QM"" question"
"319","7.024977","fe80::708:2dfd:1a83:4aee","ff02::fb","MDNS","105","Standard query 0x0000 PTR 1.56.168.192.in-addr.arpa, ""QM"" question"
"320","7.025513","fe80::708:2dfd:1a83:4aee","ff02::1:3","LLMNR","105","Standard query 0xb00b PTR 1.56.168.192.in-addr.arpa"
"321","7.126828","10.1.0.43","224.0.0.252","LLMNR","85","Standard query 0xb00b PTR 1.56.168.192.in-addr.arpa"
"322","7.434401","fe80::708:2dfd:1a83:4aee","ff02::1:3","LLMNR","105","Standard query 0xb00b PTR 1.56.168.192.in-addr.arpa"
"323","7.434700","10.1.0.43","224.0.0.252","LLMNR","85","Standard query 0xb00b PTR 1.56.168.192.in-addr.arpa"
"324","7.434819","10.1.0.43","224.0.0.251","MDNS","85","Standard query 0x0000 PTR 1.56.168.192.in-addr.arpa, ""QM"" question"
"325","7.510231","10.1.0.73","64.233.170.188","TCP","55","19745  >  5228 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"326","7.536464","fe80::708:2dfd:1a83:4aee","ff02::fb","MDNS","105","Standard query 0x0000 PTR 1.56.168.192.in-addr.arpa, ""QM"" question"
"327","7.562326","64.233.170.188","10.1.0.73","TCP","66","5228  >  19745 [ACK] Seq=1 Ack=2 Win=1024 Len=0 SLE=1 SRE=2"
"328","7.712581","10.1.0.73","162.159.141.124","TCP","55","4024  >  443 [ACK] Seq=1 Ack=1 Win=4095 Len=1"
"329","7.730977","162.159.141.124","10.1.0.73","TCP","66","443  >  4024 [ACK] Seq=1 Ack=2 Win=17 Len=0 SLE=1 SRE=2"
"330","8.312636","10.1.0.73","35.214.229.62","TCP","54","59441  >  443 [FIN, ACK] Seq=2061 Ack=3985 Win=65024 Len=0"
"331","8.312847","10.1.0.73","182.161.73.175","TCP","54","52281  >  443 [FIN, ACK] Seq=1 Ack=2 Win=253 Len=0"
"332","8.313349","10.1.0.73","23.109.134.64","TLSv1.2","789","Application Data"
"333","8.313443","10.1.0.73","23.109.134.64","TCP","1506","33191  >  443 [ACK] Seq=736 Ack=1 Win=252 Len=1452 [TCP PDU reassembled in 334]"
"334","8.313443","10.1.0.73","23.109.134.64","TLSv1.2","958","Application Data"
"335","8.315956","10.1.0.73","104.18.27.193","QUIC","1292","Initial, DCID=e2f3d5a06fdcd3f8, PKN: 1, PING, CRYPTO, PING, PADDING, PING, PING, CRYPTO, PING, PADDING, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PADDING, PING"
"336","8.316021","10.1.0.73","104.18.27.193","QUIC","1292","Initial, DCID=e2f3d5a06fdcd3f8, PKN: 2, PING, PING, PADDING, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING, PADDING, PING, PADDING, PING, PING, PADDING, CRYPTO"
"337","8.316316","10.1.0.73","104.18.27.193","TLSv1.2","157","Application Data"
"338","8.316392","10.1.0.73","104.18.27.193","TLSv1.2","93","Application Data"
"339","8.316431","10.1.0.73","104.18.27.193","TCP","1454","3006  >  443 [ACK] Seq=143 Ack=1 Win=255 Len=1400 [TCP PDU reassembled in 341]"
"340","8.316431","10.1.0.73","104.18.27.193","TCP","1454","3006  >  443 [ACK] Seq=1543 Ack=1 Win=255 Len=1400 [TCP PDU reassembled in 341]"
"341","8.316431","10.1.0.73","104.18.27.193","TLSv1.2","55","Application Data"
"342","8.317858","10.1.0.73","34.36.209.34","QUIC","1292","Initial, DCID=a17e887b7f17a063, PKN: 1, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING"
"343","8.317912","10.1.0.73","34.36.209.34","QUIC","1292","Initial, DCID=a17e887b7f17a063, PKN: 2, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, PADDING"
"344","8.318181","10.1.0.73","34.36.209.34","TLSv1.2","189","Application Data"
"345","8.318240","10.1.0.73","34.36.209.34","TLSv1.2","93","Application Data"
"346","8.318277","10.1.0.73","34.36.209.34","TCP","1466","36017  >  443 [ACK] Seq=175 Ack=1 Win=253 Len=1412 [TCP PDU reassembled in 348]"
"347","8.318277","10.1.0.73","34.36.209.34","TCP","1466","36017  >  443 [ACK] Seq=1587 Ack=1 Win=253 Len=1412 [TCP PDU reassembled in 348]"
"348","8.318277","10.1.0.73","34.36.209.34","TLSv1.2","877","Application Data"
"349","8.319147","10.1.0.73","35.154.184.33","TLSv1.2","130","Application Data"
"350","8.319199","10.1.0.73","35.154.184.33","TLSv1.2","100","Application Data"
"351","8.319732","10.1.0.73","35.154.184.33","TLSv1.2","130","Application Data"
"352","8.321051","10.1.0.73","34.111.188.22","QUIC","1292","Initial, DCID=03d6c3d4ba04fa97, PKN: 1, PADDING, PING, CRYPTO, CRYPTO, PING, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING, PING, PING, PING, CRYPTO, PING"
"353","8.321127","10.1.0.73","34.111.188.22","QUIC","1292","Initial, DCID=03d6c3d4ba04fa97, PKN: 2, PADDING, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING, CRYPTO, PING"
"354","8.321493","10.1.0.73","34.111.188.22","TLSv1.2","338","Application Data"
"355","8.321543","10.1.0.73","34.111.188.22","TLSv1.2","93","Application Data"
"356","8.321566","10.1.0.73","34.111.188.22","TCP","1466","59455  >  443 [ACK] Seq=324 Ack=1 Win=255 Len=1412 [TCP PDU reassembled in 358]"
"357","8.321566","10.1.0.73","34.111.188.22","TCP","1466","59455  >  443 [ACK] Seq=1736 Ack=1 Win=255 Len=1412 [TCP PDU reassembled in 358]"
"358","8.321566","10.1.0.73","34.111.188.22","TLSv1.2","876","Application Data"
"359","8.322931","10.1.0.73","54.151.166.244","TLSv1.2","260","Application Data"
"360","8.322989","10.1.0.73","54.151.166.244","TLSv1.2","93","Application Data"
"361","8.323013","10.1.0.73","54.151.166.244","TCP","1506","24546  >  443 [ACK] Seq=246 Ack=2 Win=252 Len=1452 [TCP PDU reassembled in 363]"
"362","8.323013","10.1.0.73","54.151.166.244","TCP","1506","24546  >  443 [ACK] Seq=1698 Ack=2 Win=252 Len=1452 [TCP PDU reassembled in 363]"
"363","8.323013","10.1.0.73","54.151.166.244","TLSv1.2","454","Application Data"
"364","8.323463","10.1.0.73","67.199.150.87","TCP","1506","42582  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1452 [TCP PDU reassembled in 366]"
"365","8.323463","10.1.0.73","67.199.150.87","TCP","1506","42582  >  443 [ACK] Seq=1453 Ack=1 Win=253 Len=1452 [TCP PDU reassembled in 366]"
"366","8.323463","10.1.0.73","67.199.150.87","TLSv1.2","666","Application Data"
"367","8.323555","10.1.0.73","67.199.150.87","TLSv1.2","93","Application Data"
"368","8.323588","10.1.0.73","67.199.150.87","TLSv1.2","1336","Application Data"
"369","8.338009","104.18.27.193","10.1.0.73","TCP","66","443  >  3006 [ACK] Seq=1 Ack=1 Win=19 Len=0 SLE=104 SRE=143"
"370","8.338009","104.18.27.193","10.1.0.73","TCP","54","443  >  3006 [ACK] Seq=1 Ack=143 Win=19 Len=0"
"371","8.338009","104.18.27.193","10.1.0.73","TLSv1.2","93","Application Data"
"372","8.338009","104.18.27.193","10.1.0.73","TCP","66","[TCP Dup ACK 370#1] 443  >  3006 [ACK] Seq=40 Ack=143 Win=19 Len=0 SLE=1543 SRE=2943"
"373","8.338009","104.18.27.193","10.1.0.73","TCP","54","443  >  3006 [ACK] Seq=40 Ack=2943 Win=19 Len=0"
"374","8.338364","34.36.209.34","10.1.0.73","QUIC","82","Initial, SCID=e17e887b7f17a063, PKN: 1, ACK"
"375","8.339673","34.36.209.34","10.1.0.73","TCP","66","443  >  36017 [ACK] Seq=1 Ack=1 Win=1023 Len=0 SLE=136 SRE=175"
"376","8.339673","34.36.209.34","10.1.0.73","TCP","66","443  >  36017 [ACK] Seq=1 Ack=1587 Win=1018 Len=0 SLE=2999 SRE=3822"
"377","8.339673","34.36.209.34","10.1.0.73","TLSv1.2","105","Application Data"
"378","8.339673","34.36.209.34","10.1.0.73","TCP","54","443  >  36017 [ACK] Seq=40 Ack=3822 Win=1010 Len=0"
"379","8.339673","34.36.209.34","10.1.0.73","QUIC","1292","Initial, SCID=e17e887b7f17a063, PKN: 2, ACK, PADDING"
"380","8.340032","104.18.27.193","10.1.0.73","QUIC","1242","Initial, SCID=01a9cfb19626fd334fab32b10b26e86ce696bb61, PKN: 1, ACK, CRYPTO"
"381","8.340032","104.18.27.193","10.1.0.73","QUIC","1242","Initial, SCID=01a9cfb19626fd334fab32b10b26e86ce696bb61, PKN: 2, CRYPTO"
"382","8.340526","10.1.0.73","104.18.27.193","QUIC","1292","Initial, DCID=01a9cfb19626fd334fab32b10b26e86ce696bb61, PKN: 3, ACK, PADDING"
"383","8.340866","104.18.27.193","10.1.0.73","QUIC","1242","Handshake, SCID=01a9cfb19626fd334fab32b10b26e86ce696bb61"
"384","8.340866","104.18.27.193","10.1.0.73","QUIC","966","Handshake, SCID=01a9cfb19626fd334fab32b10b26e86ce696bb61"
"385","8.340866","34.36.209.34","10.1.0.73","QUIC","1292","Handshake, SCID=e17e887b7f17a063"
"386","8.340866","34.36.209.34","10.1.0.73","QUIC","1292","Handshake, SCID=e17e887b7f17a063"
"387","8.341398","10.1.0.73","104.18.27.193","QUIC","93","Handshake, DCID=01a9cfb19626fd334fab32b10b26e86ce696bb61"
"388","8.341824","10.1.0.73","34.36.209.34","QUIC","81","Handshake, DCID=e17e887b7f17a063"
"389","8.342149","34.111.188.22","10.1.0.73","QUIC","82","Initial, SCID=e3d6c3d4ba04fa97, PKN: 1, ACK"
"390","8.342969","34.111.188.22","10.1.0.73","QUIC","1292","Initial, SCID=e3d6c3d4ba04fa97, PKN: 2, ACK, PADDING"
"391","8.343911","34.111.188.22","10.1.0.73","TCP","66","443  >  59455 [ACK] Seq=1 Ack=285 Win=1023 Len=0 SLE=3148 SRE=3970"
"392","8.343911","34.111.188.22","10.1.0.73","TCP","66","443  >  59455 [ACK] Seq=1 Ack=324 Win=1023 Len=0 SLE=3148 SRE=3970"
"393","8.343911","34.111.188.22","10.1.0.73","TCP","66","[TCP Dup ACK 392#1] 443  >  59455 [ACK] Seq=1 Ack=324 Win=1023 Len=0 SLE=1736 SRE=3970"
"394","8.343911","34.111.188.22","10.1.0.73","TCP","54","443  >  59455 [ACK] Seq=1 Ack=3970 Win=1009 Len=0"
"395","8.343911","34.111.188.22","10.1.0.73","TLSv1.2","93","Application Data"
"396","8.343911","34.111.188.22","10.1.0.73","QUIC","1292","Handshake, SCID=e3d6c3d4ba04fa97"
"397","8.344673","10.1.0.73","104.18.27.193","QUIC","127","Handshake, DCID=01a9cfb19626fd334fab32b10b26e86ce696bb61"
"398","8.344816","10.1.0.73","104.18.27.193","QUIC","128","Protected Payload (KP0), DCID=01a9cfb19626fd334fab32b10b26e86ce696bb61"
"399","8.352488","10.1.0.73","34.111.188.22","QUIC","1292","Initial, DCID=e3d6c3d4ba04fa97, PKN: 4, PADDING, PING, PADDING"
"400","8.359841","35.154.184.33","10.1.0.73","TCP","54","443  >  48325 [ACK] Seq=1 Ack=199 Win=198 Len=0"
"401","8.359841","35.154.184.33","10.1.0.73","TLSv1.2","703","[TCP Previous segment not captured] , Application Data"
"402","8.359841","35.154.184.33","10.1.0.73","TLSv1.2","703","Application Data"
"403","8.359921","10.1.0.73","35.154.184.33","TCP","66","[TCP Dup ACK 349#1] 48325  >  443 [ACK] Seq=199 Ack=1 Win=255 Len=0 SLE=47 SRE=696"
"404","8.359952","10.1.0.73","35.154.184.33","TCP","66","[TCP Dup ACK 349#2] 48325  >  443 [ACK] Seq=199 Ack=1 Win=255 Len=0 SLE=47 SRE=1345"
"405","8.364426","104.18.27.193","10.1.0.73","QUIC","570","Protected Payload (KP0)"
